relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - PARA MCQ by DR.KANDEEL [103].pdf	4821972	73d025d9708beea25421fcb3bb4add7b77a7eeb093fc4858235656e871f135a7	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	15		2	empty-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - Para MCQ Dr Ayman Ibrahim.pdf	5622291	8a4ed429cba5061a07a77a9e9c657008946529fc3abc477adc1734283dc75901	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	20		2	empty-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - Para Mcq Dr.khairy.pdf	52854027	74c0876fa0e94fd02511ec0f55f78b1c67aeee35bd6d96047a25aa8435583dc0	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	112		2	empty-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - Ticks.pdf	122202	30997b4bb2e13460089e4a1bdb97a022105d871cb28d70d0e95c63d1646e80a2	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	6		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - fhb para All.pdf	2482788	a81fc0d97fb235f673825d0c75a1c11527e5bdda44ae32b8a828948e7350334a	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	38		46	sparse-text
Year 1/Semester 102/FHB 102-2/Parasitology/05 MCQs/MCQs - para all quizes.pdf	6680981	da9693771205f98be44d941dc779e72b34ad73850efd0e34ec332a2d642a1154	Year 1	Semester 102	FHB 102-2	Parasitology	05 MCQs	18		2	empty-text
Year 1/Semester 102/FHB 102-2/Parasitology/06 EOM Exams/EOM - FHB 102 Final revision.pdf	8086436	b9a55266923a251cd30bb06bbe51efae146bcd6ea9a51b7489b76caf18fcf9f3	Year 1	Semester 102	FHB 102-2	Parasitology	06 EOM Exams	116		92	sparse-text
Year 1/Semester 102/FHB 102-2/Parasitology/06 EOM Exams/EOM - Practical Final Para FHB-2 - Revision.pdf	8621915	95b68fdebb7014353e0ffce1ebde977607ff239132fef93f8184225775c8fe42	Year 1	Semester 102	FHB 102-2	Parasitology	06 EOM Exams	117		119	sparse-text
Year 1/Semester 102/FHB 102-2/Parasitology/06 EOM Exams/EOM MCQs - Final OSPE Simulation FHB102_Mucize Doctors.pdf	1113272	9d8fd6b6b5d51ccc5049efc430daa26267f57ac04dc11717686cfad21af7edf1	Year 1	Semester 102	FHB 102-2	Parasitology	06 EOM Exams	18		460	sparse-text
Year 1/Semester 102/FHB 102-2/Parasitology/06 EOM Exams/EOM MCQs - Parasitology FHB102-2 Exam Night Questions & Notes (Final).pdf	3565588	15e37b0ef0fe721a4fd0c932ed1a5ba648fe4b14142adabc5e231bc3b8e24a51	Year 1	Semester 102	FHB 102-2	Parasitology	06 EOM Exams	23		101	audit-extract-failed
Year 1/Semester 102/FHB 102-2/Parasitology/06 EOM Exams/EOM MCQs - Parasitology FHB102-2 Questions (Final).pdf	264659	b2b07230ab691f6e8c14085685cddb1b593fd46759689966247d318b4af6311f	Year 1	Semester 102	FHB 102-2	Parasitology	06 EOM Exams	42		1802	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/FHB Para (Intro) Midterm Notes.pdf	520730	20445c08505e59ae53e9c1b40465d5f329d4f51d03bdd615dd319dbd93e721de	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	1		1660	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/FHB Para (Mosquitoes) Midterm Notes.pdf	759418	89f9b50762f9efbed0c081ba949a24e4ccbceb062df871c77497b1a1cc2af3a7	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	3		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/FHB Para (Myiasis) Midterm Notes.pdf	777567	6fb474b2c5871480abefa3a6e738373c226ccb790af54bb01709f3bb833941d5	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	6		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/FHB Para (Sand Fly) Midterm Notes.pdf	535515	79db3ce9ae72b46dfb1eec91e0441e28543bd8eff4a743888958b412f9d62b0e	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	2		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/PARA FHB REVISION - MIDTERM 2026.pdf	397481	ffd93da4358f3012ef44c154f62e4dde50a3d5378c0e2fa6188283ad4ff7844c	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	12		2	empty-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/revision after midterm FHB102.pdf	115561	be9417870fcbd5a6a748bf8142b7d6ae5ed0bc4090f175f6dc2b50eb161b2ea1	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	28		635	sparse-text
Year 1/Semester 102/FHB 102-2/Parasitology/08 Midterm Exams/📌para FHB-2 102 midterm (By Asma).pdf	2510894	0444553891b39cf7fad5fad2c8c597923c785fb666e96503f313bf92f71d2194	Year 1	Semester 102	FHB 102-2	Parasitology	08 Midterm Exams	19		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Pharmacology/05 MCQs/MCQs - FHB-Pharma MCQ Questions.pdf	177114	68c1cd690f5ff892c0de7c67f6a330c0358930834531624b19986bc635086169	Year 1	Semester 102	FHB 102-2	Pharmacology	05 MCQs	10		1800	substantive-text
